gold	label
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	donate
0	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	hi
1	how does corona spread
1	how does corona spread
1	how does corona spread
1	how does corona spread
1	how does corona spread
1	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	how does corona spread
2	latest numbers
2	latest numbers
2	latest numbers
2	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	latest numbers
3	myths
3	myths
3	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	myths
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	news and press
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	okay thanks
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	protect yourself
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	share
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	travel
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are symptoms
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what are treatment options
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what if i visited high risk area
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	what is corona
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from feces animal pets
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
-1	can i get from packages surfaces
